,Days,Ab_1,Ab_2,Ab_3,Ab_4,Ab_5,Ab_6,Ab_7,Ab_8,Ab_9,Ab_10
17,18,0.9821342626370917,0.9821342626370917,0.9821342626370917,0.9821342626370917,0.9821342626370917,0.9821342626370917,0.9821342626370917,0.9821342626370917,0.9821342626370917,0.9821342626370917
18,19,0.9738033462976614,0.9738033462976614,0.9738033462976614,0.9738033462976614,0.9738033462976614,0.9738033462976614,0.9738033462976614,0.9738033462976614,0.9738033462976614,0.9738033462976614
19,20,0.964533792352997,0.964533792352997,0.964533792352997,0.964533792352997,0.964533792352997,0.964533792352997,0.964533792352997,0.964533792352997,0.964533792352997,0.964533792352997
20,21,0.9545337664931439,0.9545337664931439,0.9545337664931439,0.9545337664931439,0.9545337664931439,0.9545337664931439,0.9545337664931439,0.9545337664931439,0.9545337664931439,0.9545337664931439
21,22,0.9439726194331329,0.9439726194331329,0.9439726194331329,0.9439726194331329,0.9439726194331329,0.9439726194331329,0.9439726194331329,0.9439726194331329,0.9439726194331329,0.9439726194331329
22,23,0.9329880369808174,0.9329880369808174,0.9329880369808174,0.9329880369808174,0.9329880369808174,0.9329880369808174,0.9329880369808174,0.9329880369808174,0.9329880369808174,0.9329880369808174
23,24,0.9216918742351484,0.9216918742351484,0.9216918742351484,0.9216918742351484,0.9216918742351484,0.9216918742351484,0.9216918742351484,0.9216918742351484,0.9216918742351484,0.9216918742351484
24,25,0.9101749160644732,0.9101749160644732,0.9101749160644732,0.9101749160644732,0.9101749160644732,0.9101749160644732,0.9101749160644732,0.9101749160644732,0.9101749160644732,0.9101749160644732
25,26,0.8985107614537402,0.8985107614537402,0.8985107614537402,0.8985107614537402,0.8985107614537402,0.8985107614537402,0.8985107614537402,0.8985107614537402,0.8985107614537402,0.8985107614537402
26,27,0.8867589929488857,0.8867589929488857,0.8867589929488857,0.8867589929488857,0.8867589929488857,0.8867589929488857,0.8867589929488857,0.8867589929488857,0.8867589929488857,0.8867589929488857
27,28,0.8749677627572211,0.8749677627572211,0.8749677627572211,0.8749677627572211,0.8749677627572211,0.8749677627572211,0.8749677627572211,0.8749677627572211,0.8749677627572211,0.8749677627572211
28,29,0.8631759028529827,0.8631759028529827,0.8631759028529827,0.8631759028529827,0.8631759028529827,0.8631759028529827,0.8631759028529827,0.8631759028529827,0.8631759028529827,0.8631759028529827
29,30,0.8514146466826512,0.8514146466826512,0.8514146466826512,0.8514146466826512,0.8514146466826512,0.8514146466826512,0.8514146466826512,0.8514146466826512,0.8514146466826512,0.8514146466826512
30,31,0.8397090339453477,0.8397090339453477,0.8397090339453477,0.8397090339453477,0.8397090339453477,0.8397090339453477,0.8397090339453477,0.8397090339453477,0.8397090339453477,0.8397090339453477
31,32,0.828079056770611,0.828079056770611,0.828079056770611,0.828079056770611,0.828079056770611,0.828079056770611,0.828079056770611,0.828079056770611,0.828079056770611,0.828079056770611
32,33,0.8165405948832961,0.8165405948832961,0.8165405948832961,0.8165405948832961,0.8165405948832961,0.8165405948832961,0.8165405948832961,0.8165405948832961,0.8165405948832961,0.8165405948832961
