condition,condition_subtype,group
BD55-4358,class 4,F2
BD55-4360,class 4,F1
BD55-4364,class 4,F1
BD55-4382,class 2,C
BD55-4392,class 4,F1
BD55-4394,class 4,F1
BD55-4397,class 2,C
BD55-4418,class 4,F1
BD55-4464,class 4,F1
BD55-4467,class 3,E2.2
BD55-4483,class 4,F2
BD55-4484,class 3,E1
BD55-4495,class 3,E1
BD55-4637,class 4,F3
BD55-4662,class 1,B
BD55-4664,class 3,E1
BD55-4760,class 4,F2
BD55-4804,class 3,E3
BD55-4892,class 3,E1
BD55-5001,class 3,E1
BD55-5163,class 4,F3
BD55-5164,class 4,F2
BD55-5167,class 4,F2
BD55-5168,class 4,F3
BD55-5170,class 4,F2
BD55-5171,class 3,E1
BD55-5175,class 3,E1
BD55-5182,class 4,F2
BD55-5183,class 1,B
BD55-5189,class 4,F2
BD55-5195,class 3,E1
BD55-5196,class 4,F3
BD55-5198,class 4,F3
BD55-5200,class 3,E1
BD55-5201,class 4,F2
BD55-5212,class 3,E3
BD55-5215,class 4,F1
BD55-5219,class 3,E1
BD55-5223,class 4,F2
BD55-5226,class 4,F2
BD55-5228,class 3,E1
BD55-5233,class 4,F3
BD55-5236,class 4,F2
BD55-5238,class 4,F2
BD55-5239,class 4,F2
BD55-5242,class 4,F2
BD55-5245,class 4,F2
BD55-5248,class 4,F1
BD55-5250,class 4,F1
BD55-5251,class 3,E3
BD55-5256,class 4,F2
BD55-5259,class 4,F3
BD55-5263,class 3,E3
BD55-5264,class 4,F2
BD55-5265,class 4,F2
BD55-5267,class 4,F2
BD55-5268,class 3,E3
BD55-5271,class 4,F1
BD55-5276,class 4,F2
BD55-5284,class 4,F1
BD55-5286,class 3,E1
BD55-5293,class 1,E3
BD55-5293,class 3,E3
BD55-5296,class 4,F2
BD55-5300,class 4,F3
BD55-5301,class 4,F2
BD55-5303,class 3,E1
BD55-5304,class 4,F2
BD55-5305,class 4,F3
BD55-5309,class 4,F2
BD55-5311,class 4,F1
BD55-5319,class 3,E1
BD55-5320,class 3,E2.2
BD55-5323,class 4,F3
BD55-5324,class 1,B
BD55-5325,class 4,F3
BD55-5326,class 4,F1
BD55-5333,class 4,F2
BD55-5339,class 4,F2
BD55-5342,class 4,F3
BD55-5343,class 4,F2
BD55-5354,class 4,F3
BD55-5358,class 4,F1
BD55-5359,class 4,F1
BD55-5361,class 4,F1
BD55-5365,class 4,F3
BD55-5379,class 3,E3
BD55-5380,class 4,F2
BD55-5382,class 3,E1
BD55-5384,class 4,F2
BD55-5386,class 3,E1
BD55-5387,class 4,F2
BD55-5396,class 4,F3
BD55-5397,class 4,F2
BD55-5399,class 1,B
BD55-5400,class 4,F1
BD55-5404,class 4,F1
BD55-5408,class 4,F3
BD55-5411,class 4,F2
BD55-5413,class 3,E2.2
BD55-5415,class 3,E3
BD55-5416,class 4,F2
BD55-5417,class 4,F1
BD55-5418,class 3,E3
BD55-5419,class 4,F2
BD55-5425,class 4,F1
BD55-5427,class 4,F2
BD55-5431,class 4,F2
BD55-5432,class 4,F2
BD55-5438,class 4,F2
BD55-5442,class 4,F1
BD55-5448,class 4,F3
BD55-5449,class 3,E1
BD55-5450,class 4,F2
BD55-5453,class 4,F1
BD55-5454,class 4,F1
BD55-5456,class 4,F1
BD55-5459,class 4,F3
BD55-5462,class 3,D1
BD55-5463,class 1,B
BD55-5466,class 4,F3
BD55-5467,class 4,F2
BD55-5468,class 4,F3
BD55-547,class 4,F2
BD55-5470,class 3,E3
BD55-5471,class 4,F1
BD55-5472,class 4,F3
BD55-5473,class 3,E1
BD55-5474,class 4,F2
BD55-5476,class 4,F1
BD55-5477,class 3,E1
BD55-5483,class 4,F3
BD55-5484,class 3,E1
BD55-5485,class 3,E3
BD55-5486,class 4,F2
BD55-5493,class 4,F2
BD55-5495,class 4,F1
BD55-5501,class 3,E1
BD55-5502,class 4,F1
BD55-5505,class 4,F2
BD55-5512,class 4,F2
BD55-5514,class 4,F3
BD55-5516,class 4,F2
BD55-5517,class 4,F2
BD55-5521,class 4,F2
BD55-5524,class 3,E2.2
BD55-5526,class 4,F3
BD55-5530,class 1,B
BD55-5537,class 4,F2
BD55-5542,class 3,E1
BD55-5543,class 4,F3
BD55-5545,class 3,E3
BD55-5549,class 3,E1
BD55-5551,class 3,E3
BD55-5557,class 4,F1
BD55-5558,class 4,F3
BD55-556,class 1,B
BD55-5564,class 4,F2
BD55-5565,class 3,E1
BD55-5566,class 3,D1
BD55-5568,class 4,F1
BD55-5569,class 3,E3
